MPU Pad,H3LIS Pad,MS5607 Pressure Pad,MS5607 Temperature Pad,Voltage Pad,C1,C2,C3,C4,C5,C6,Line Count
917,-48,6233832,8497154,0,42640,40615,26575,24961,31880,28219,393
Time (ms),Status,Altitude (mm),Velocity (mm/s),Acceleration (mm/s2),Altitude Barometric (mm),Acceleration Axial (mm/s2),Pressure (Pa),Temperature (100*degC),Acceleration MPU_X (2byte 16g),Acceleration MPU_Y (2byte 16g),Acceleration MPU_Z (2byte 16g),Rotation MPU_X (2byte 2000deg/s),Rotation MPU_Y (2byte 2000deg/s),Rotation MPU_Z (2byte 2000deg/s),Acceleration H3LIS Y (2byte 200g),MS5607 Pressure (4byte),MS5607 Temperature (4byte),Voltage (10bit),Continuity Apogee (10bit),Continuity Main (10bit),Continuity Third (10bit)
39345,0,-13067,-953,15450,-621,15327,93371,3117,-226,1898,-812,-690,-84,161,32,6234592,8493536,16,13,10,8
39369,0,-12731,-371,15822,-621,16050,93371,3117,-224,2049,-781,-660,-125,165,48,6234592,8493536,13,13,8,9
39399,0,-12335,332,15746,1242,15696,93350,3117,-205,1975,-661,-999,-143,108,64,6234080,8493536,15,14,9,10
39422,0,-11989,889,15837,-621,15892,93371,3117,-192,2016,-582,-1369,-62,118,64,6234592,8493536,16,13,9,9
39446,0,-11639,1455,15813,-621,15796,93371,3117,-211,1996,-628,-1420,-60,92,96,6234592,8493536,15,13,8,9
39470,0,-11287,2018,15978,-621,16079,93371,3117,-201,2055,-570,-779,-85,90,16,6234592,8493536,16,13,9,9
39500,0,-10916,2670,15825,-621,15729,93371,3117,-164,1982,-467,-158,-21,-68,64,6234592,8493536,15,14,9,9
39524,0,-10555,3218,15778,-621,15748,93371,3117,-212,1986,-452,-487,-79,107,64,6234592,8493536,16,13,9,9
39549,0,-10177,3784,15947,-266,16050,93367,3115,-155,2049,-445,-489,-91,59,16,6234592,8493024,14,13,9,9
39573,0,-9801,4328,15908,-266,15882,93367,3115,-184,2014,-480,-459,-79,27,48,6234592,8493024,15,13,9,9
39603,0,-9395,4957,15659,-266,15504,93367,3115,-192,1935,-411,-530,-91,91,32,6234592,8493024,14,13,9,10
39628,0,-9063,5463,15508,-2218,15413,93389,3115,-198,1916,-404,-266,-71,147,32,6235104,8493024,15,14,9,10
39652,0,-8679,5979,15515,-266,15519,93367,3115,-184,1938,-397,11,-39,193,32,6234592,8493024,15,14,9,10
39676,0,-8350,6461,15838,-2218,16036,93389,3115,-148,2046,-432,-292,-71,263,48,6235104,8493024,15,13,9,9
39700,0,-7964,6977,16162,-266,16361,93367,3115,-151,2114,-407,-298,-151,203,16,6234592,8493024,16,13,9,9
39731,0,-7517,7605,16090,0,16045,93364,3114,-105,2048,-321,-18,-46,61,32,6234592,8492512,15,13,9,9
39755,0,-7127,8108,16054,-266,16031,93367,3115,-104,2045,-361,-64,-10,87,48,6234592,8493024,14,14,9,9
39780,0,-6720,8625,16117,0,16155,93364,3114,-83,2071,-298,22,29,79,80,6234592,8492512,15,13,9,10
39804,0,-6329,9116,16099,-266,16088,93367,3115,-93,2057,-371,-17,52,39,48,6234592,8493024,14,14,9,9
39835,0,-5918,9685,16143,-1863,16170,93385,3114,-119,2074,-371,-81,11,27,64,6235104,8492512,14,14,9,10
39859,0,-5525,10158,15843,-266,15657,93367,3115,-161,1967,-373,-100,20,37,-16,6234592,8493024,15,13,9,9
39881,0,-5145,10597,15986,0,16074,93364,3114,-118,2054,-401,75,28,107,80,6234592,8492512,14,13,9,9
39903,0,-4821,11001,16135,-1863,16227,93385,3114,-82,2086,-373,104,64,-42,64,6235104,8492512,15,14,9,9
39933,0,-4301,11587,15896,1863,15748,93343,3114,-137,1986,-391,-262,-26,131,32,6234080,8492512,14,13,10,9
39955,0,-3926,12006,16098,0,16222,93364,3114,-104,2085,-388,-128,-37,58,64,6234592,8492512,15,14,9,9
39978,0,-3549,12429,15855,-266,15705,93367,3115,-98,1977,-362,119,20,-15,32,6234592,8493024,15,13,9,9
40002,0,-3154,12863,15833,0,15820,93364,3114,-91,2001,-378,-88,-10,109,16,6234592,8492512,14,13,9,9
40031,0,-2702,13365,15947,-266,16017,93367,3115,-64,2042,-338,-112,-24,11,32,6234592,8493024,14,13,9,9
40054,0,-2322,13772,15963,0,15973,93364,3114,-72,2033,-353,203,37,15,0,6234592,8492512,15,13,9,10
40075,0,-1971,14139,15810,0,15715,93364,3114,-75,1979,-402,151,82,29,48,6234592,8492512,16,14,9,10
40097,0,-1609,14516,15955,0,16045,93364,3114,-110,2048,-471,-243,-23,118,-16,6234592,8492512,15,14,9,9
40125,0,-1109,15014,16020,1863,16060,93343,3114,-79,2051,-401,-171,-39,36,48,6234080,8492512,15,15,8,9
41146,1,19098,26858,10511,1242,8738,93350,3107,864,522,-2519,3886,609,818,-48,6234592,8490464,15,14,10,9
42156,1,29040,19493,6178,621,8609,93357,3100,677,495,-2308,-74,-3,-25,-64,6235104,8488416,15,13,9,10
