MPU Pad,H3LIS Pad,Pressure Pad,Temperature Pad,C1,C2,C3,C4,C5,C6,Line Count,,,,,,,,
917,-48,6233832,8497154,0,42640,40615,26575,24961,31880,28219,393,,,,,,,,,,
Time (ms),Status,Altitude (mm),Velocity (mm/s),Acceleration (mm/s2),Altitude Barometric (mm),Acceleration Axial (mm/s2),Pressure (Pa),Temperature (100*degC),Acceleration MPU_X (2byte 16g),Acceleration MPU_Y (2byte 16g),Acceleration MPU_Z (2byte 16g),Rotation MPU_X (2byte 2000deg/s),Rotation MPU_Y (2byte 2000deg/s),Rotation MPU_Z (2byte 2000deg/s),Acceleration H3LIS Y (2byte 200g),MS5607 Pressure (4byte),MS5607 Temperature (4byte),Voltage (10bit),Continuity Apogee (10bit),Continuity Main (10bit),Continuity Third (10bit)
31266,0,-7956,-13585,-7698,621,-7584,93360,3143,-191,1911,117,16,-9,-19,32,6233056,8501216,15,13,9,9
31296,0,-8158,-13692,-7550,-976,-7460,93378,3141,-142,1885,202,-46,3,15,32,6233568,8500704,15,14,9,9
31320,0,-8224,-13720,-7498,887,-7469,93357,3141,-149,1887,179,-33,-5,106,16,6233056,8500704,14,13,9,9
31343,0,-8328,-13773,-7811,-976,-8006,93378,3141,-102,1999,192,-18,40,89,32,6233568,8500704,15,13,9,10
31367,0,-8392,-13808,-8019,887,-8149,93357,3141,-128,2029,122,-19,14,7,48,6233056,8500704,15,12,9,9
31398,0,-8601,-13929,-8071,-976,-8106,93378,3141,-101,2020,165,-70,26,-28,16,6233568,8500704,15,13,9,9
31424,0,-8792,-14037,-7974,-2839,-7915,93399,3141,-103,1980,188,-46,30,-38,64,6234080,8500704,15,13,9,9
31448,0,-8899,-14090,-7717,-976,-7560,93378,3141,-116,1906,190,21,31,-20,64,6233568,8500704,15,14,10,10
31472,0,-9006,-14139,-7672,-976,-7647,93378,3141,-91,1924,201,30,20,-25,16,6233568,8500704,15,13,9,9
31496,0,-9110,-14184,-7487,-976,-7374,93378,3141,-144,1867,172,115,30,15,16,6233568,8500704,15,14,9,9
31527,0,-9309,-14278,-7709,-976,-7848,93378,3141,-127,1966,131,102,62,5,64,6233568,8500704,15,13,9,9
31550,0,-9340,-14284,-7828,887,-7905,93357,3141,-118,1978,119,116,27,42,32,6233056,8500704,15,13,9,9
31573,0,-9423,-14323,-7904,-976,-7953,93378,3141,-134,1988,83,127,17,-33,-16,6233568,8500704,15,13,9,10
31598,0,-9534,-14373,-7705,-976,-7584,93378,3141,-117,1911,97,146,47,-27,32,6233568,8500704,15,14,10,9
31628,0,-9765,-14485,-7612,-2839,-7556,93399,3141,-154,1905,89,76,12,54,-16,6234080,8500704,15,14,10,7
31653,0,-9913,-14553,-7759,-2573,-7852,93396,3140,-173,1967,72,50,-14,38,80,6234080,8500192,15,13,10,9
31676,0,-9976,-14575,-7881,-621,-7958,93374,3140,-124,1989,70,57,7,64,48,6233568,8500192,14,13,9,10
31701,0,-10066,-14614,-8015,-621,-8101,93374,3140,-124,2019,59,81,15,-23,32,6233568,8500192,15,13,9,9
31731,0,-10171,-14656,-7845,1242,-7742,93353,3140,-124,1944,98,-68,-11,29,32,6233056,8500192,15,14,10,7
31756,0,-10301,-14715,-7854,-2218,-7862,93392,3138,-100,1969,96,62,22,38,48,6234080,8499680,15,14,9,8
31781,0,-10384,-14750,-8180,-621,-8384,93374,3140,-117,2078,58,-13,49,-58,80,6233568,8500192,15,14,10,9
31805,0,-10451,-14776,-7991,-621,-7876,93374,3140,-114,1972,61,-70,-36,-45,-16,6233568,8500192,15,14,10,9
31837,0,-10631,-14856,-7738,-621,-7584,93374,3140,-113,1911,104,20,64,-4,16,6233568,8500192,15,14,9,10
31862,0,-10698,-14875,-7940,-355,-8068,93371,3138,-120,2012,23,31,43,46,16,6233568,8499680,14,13,9,9
31885,0,-10735,-14880,-7938,-355,-7939,93371,3138,-112,1985,38,-120,-12,-19,64,6233568,8499680,14,13,10,9
31910,0,-10800,-14901,-8025,-355,-8082,93371,3138,-105,2015,72,-91,21,38,32,6233568,8499680,14,13,8,9
31940,0,-10936,-14962,-8130,-355,-8197,93371,3138,-102,2039,53,-70,31,-57,48,6233568,8499680,15,12,9,9
31965,0,-11050,-15008,-7785,-2218,-7575,93392,3138,-128,1909,51,-141,-17,-60,80,6234080,8499680,15,14,9,9
31990,0,-11108,-15018,-7825,-355,-7852,93371,3138,-111,1967,95,-94,17,50,64,6233568,8499680,16,13,9,9
32014,0,-11150,-15023,-7982,-355,-8082,93371,3138,-127,2015,33,-42,28,-69,16,6233568,8499680,15,15,8,9
32039,0,-11206,-15036,-7913,-355,-7872,93371,3138,-126,1971,69,-54,7,-74,32,6233568,8499680,15,13,8,10
32070,0,-11348,-15090,-7823,-355,-7771,93371,3138,-96,1950,36,-8,20,-29,32,6233568,8499680,15,14,9,9
32093,0,-11423,-15110,-7722,-2218,-7661,93392,3138,-89,1927,90,-74,8,-6,32,6234080,8499680,15,13,9,9
32116,0,-11443,-15098,-7792,-355,-7838,93371,3138,-116,1964,90,-29,45,27,16,6233568,8499680,15,14,9,9
32140,0,-11531,-15125,-7748,-2218,-7723,93392,3138,-103,1940,29,-12,23,8,64,6234080,8499680,14,13,8,9
32171,0,-11666,-15174,-8006,-355,-8168,93371,3138,-96,2033,30,-106,17,1,32,6233568,8499680,15,13,8,9
32195,0,-11685,-15166,-8063,0,-8101,93367,3136,-100,2019,59,-104,-20,8,80,6233568,8499168,15,14,8,9
32219,0,-11713,-15164,-8038,-355,-8025,93371,3138,-117,2003,100,-83,26,-41,0,6233568,8499680,15,14,9,10
32244,0,-11756,-15168,-7990,-355,-7963,93371,3138,-64,1990,87,-29,34,-54,80,6233568,8499680,14,14,8,9
32274,0,-11859,-15199,-7782,0,-7656,93367,3136,-82,1926,112,-104,36,-55,48,6233568,8499168,15,13,8,10
